index,nom,titre,motCles,periode,dateNaissance,dateMort,dateApprox,lieu,adresse,latitude,longitude,miniBio,lienPhoto,lienWiki
45,Simone Demangel,,"bourgeoise, résistante, Juifs, pionnière, femme politique",7,1903,1995,,"1 rue Auguste-Broussonnet, Montpellier","1 rue Auguste-Broussonnet, Montpellier",43.615407,3.874025,"Simone-Thérèse Gillet (1903-1995) épouse Robert Demangel, professeur à la faculté des Lettres depuis 1928 et directeur de l'École d'Athènes entre 1933 et 1948. Repliée à Montpellier au printemps 1940, Simone héberge chez elle des réfugiés, 1 rue Auguste-Broussonnet. A vélo, de nuit, elle porte de faux documents aux maquis, aide des Juifs réfugiés et des jeunes réfractaires au STO. Elle dirige pendant un temps le Comité des Œuvres Sociales des Organisations de la Résistance (COSOR). Arrêtée trois fois par la Gestapo, elle réussit miraculeusement à en réchapper. En 1945, elle est l’une des deux premières femmes à être élue et à siéger au Conseil municipal de Montpellier.",http://www.ajpn.org/personne-Simone-Demangel-6516.html ,
46,Laure Moulin,,"résistante, enseignante, pionnière, femme politique",7,1892,1974,,"21 Grand-Rue, Montpellier","21 Grand-Rue, Montpellier",43.608134,3.877995,"Laure Moulin (1892-1974) est la sœur aînée de Jean Moulin,  premier président du Conseil national de la Résistance en 1943. Comme lui, elle s’engage dans la Résistance  ; enseignante au collège Legouvé, elle réside au 21 Grand-rue. Elle est, avec Simone Demangel, l’une des deux premières femmes élues au Conseil municipal de Montpellier en 1945.  ",https://www.franceculture.fr/emissions/les-nuits-de-france-culture/portrait-de-jean-moulin-par-sa-soeur-laure-0 ,
47,Sabine Zlatin,,"résistante, Juifs",7,1907,1996,,"Avenue de Castelnau, Montpellier","Avenue de Castelnau, Montpellier",43.622468,3.883893,"Née en 1907 en Pologne, Sabine Chwast et son mari Miron Zlatin s’installent dans le nord de la France en 1929. Réfugiée à Montpellier en 1940, elle organise le sauvetage d’enfants juifs des camps d’Agde et de Rivesaltes ; l’abbé Prévost accueille ces derniers un temps dans les locaux de l’enclos Saint-François, avenue de Castelnau, à Montpellier. Au printemps 1942, Sabine Zlatin bénéficie de l’aide de la famille Pallarès. Elle installe un refuge pour enfants dans le village d’Izieu (dans l’Ain). Le 6 avril 1944, alors qu’elle est à Montpellier, elle apprend l’arrestation et la déportation à Auschwitz de tous les enfants de la colonie ainsi que de son mari, qui meurt fusillé quelques mois plus tard.",http://la-loupe.over-blog.net/article-zlatin-sabine-53916930.html ,https://fr.wikipedia.org/wiki/Sabine_Zlatin
48,Marie-Antoinette Pallarès,,"résistante, Juifs, Juste des nations",7,1903,1982,,"6 rue Guillaume Pellicier, Montpellier","6 rue Guillaume Pellicier, Montpellier",43.608620,3.866831,"Marie-Antoinette Pallarès (1903-1982) et ses filles Renée (1925-2007) et Paulette (1926-1989) cachent chez elles, 6 rue Guillaume Pellicier, plusieurs enfants juifs. Renée et ses filles aident certains d’entre eux à rejoindre la Suisse ou le village d’Izieu (dans l’Ain), où Sabine Zlatin a installé un refuge. Entre 1942 et 1944, elles ravitaillent également des familles juives cachées dans des greniers. ",http://www.ajpn.org/juste-Marie-Antoinette-Pallares-2110.html ,
49,Elise-Suzanne Tsitskichvili,,"étudiante, résistante, géorgienne, déportée",7,,,1943,Montpellier,,,,"Surnommée « Suzy », elle est étudiante à la faculté des lettres d’origine géorgienne, et rejoint à 21 ans le groupe de résistance lié aux FTP. Au mois d’août 1943, alors qu’elle distribue des tracts à la demande de Georges Charpak, étudiant en classes préparatoires, elle est arrêtée par la police française et incarcérée dans l’ancienne prison, derrière le tribunal. Condamnée à un an de prison, elle est déportée à Ravensbrück en mai 1944.",,
50,Jeanne Atger,,"diplômée, médecin, protestante, résistante, Juifs",7,,,1945,Montpellier,,,,"Médecin de confession protestante, elle joue le rôle d’intermédiaire au cœur d’un vaste réseau clandestin visant à cacher les juifs et les résistants lors de la seconde guerre mondiale. Elle dirige, à la suite de Simone Demangel, le Comité des Œuvres Sociales des Organisations de la Résistance (COSOR). Elle est la seule femme dans le Comité de Libération de l’Hérault en 1945.",,
51,Jeanne Nizet,épouse Mandin,"diplômée, médecin, résistante, pionnière",7,1926,2004,,"CHU 191 Avenue du Doyen Gaston Giraud, Montpellier",,,,"Née en 1926, décédée en 2004, elle est la deuxième femme agrégée dans l’histoire de la médecine à Montpellier, et devient en 1968 la première femme chef de service au CHU. Pendant la seconde guerre mondiale, elle s’engage dans la Résistance.",,
52,Emilienne Demougeot,,"diplômée, historienne, universitaire, pionnière",7,1910,1994,,Montpellier,,,,"Née en 1910 et décédée en 1994, elle est agrégée et docteur en histoire. Elle devient en 1957 la première femme professeur titulaire à la Faculté des Lettres de Montpellier, et l’une des premières femmes professeurs d’histoire dans une Université française.",,https://fr.wikipedia.org/wiki/%C3%89milienne_Demougeot
53,Michèle Weil,,"universitaire, pionnière, féministe",7,,,1998,"UPV Route de Mende, Montpellier",,,,"En 1998 elle devient la première présidente d’une Université montpelliéraine, l’Université Paul-Valéry. Elle met en place sous son mandat en 2002 la Mission pour l’Egalité entre les femmes et les hommes.",http://www.iletanblog.com/2010/,
54,Armande Le Pellec-Müller,,"universitaire, recteur, pionnière",7,1953,,,Montpellier,,,,"Titulaire d’un  doctorat, agrégée d’éducation physique et sportive, Armande Le Pellec Muller est  professeure à l’université Paris-Nanterre. Elle devient ensuite la première femme recteur à la tête de l’académie de Montpellier en 2013. ",http://www.letudiant.fr/educpros/entretiens/armande-le-pellec-muller.html ,
55,Jeanne Galzy,,"bourgeoise, protestante, diplômée, écrivaine, enseignante, féministe, pionnière, homosexualité",7,1883,1977,,Montarnaud,Montarnaud,43.649126,3.698019,"Agrégée de lettres, elle devient en 1915 la première femme professeur par intérim au lycée de garçons de Montpellier. Son premier roman, La Femme chez les garçons   publié en 1919, raconte cette expérience  : elle y évoque « les chuchotements, les regards qui l’interrogent sur sa présence insolite ». Elle entame ensuite une grande carrière de romancière aux accents féministes : elle obtient le Prix Fémina en 1923 pour Les Allongés, et publie 28 romans dans lesquels elle décrit les amours féminines ou restitue de façon charnelle la spécificité de sa région, le Languedoc.",https://fr.wikipedia.org/wiki/Jeanne_Galzy ,https://fr.wikipedia.org/wiki/Jeanne_Galzy 
56,Albertine Sarrazin,,"femme du peuple, écrivaine, féministe, symbole, scandale, pionnière, homosexualité",7,1937,1967,,Saint-André-de-Majencoules,Saint-André-de-Majencoules,44.028560,3.674690,"Ecrivaine, elle devient un symbole de révolte et de liberté. Née à Alger en 1937, elle est confiée à l’Assistance publique. Albertine fugue dès son adolescence, puis écope à 16 ans de 7 ans de prison pour cambriolage. Lors de l’une de ses évasions, elle rencontre Julien Sarrazin, qui devient son mari. En 1965, elle arrive à Montpellier et publie L’Astragale, roman autobiographique mêlant prison et évasion, jeunesse, prostitution et bisexualité. L’ouvrage devient le livre culte d’une génération soixante-huitarde et féministe. Mais Albertine n’a pas le temps de connaître la gloire. En juillet 1967, elle meurt des suites d’une erreur médicale sur la table d’opération d’une clinique montpelliéraine.",http://albertine-julien.fr/ ,https://fr.wikipedia.org/wiki/Albertine_Sarrazin
57,Madeleine Attal,,"journaliste, comédienne, fondatrice, pionnière",7,1922,,,Montaud,Montaud,43.752519,3.955385,"Née en 1922 à Constantine, elle a marqué l’histoire de Montpellier en tant que comédienne de théâtre, réalisatrice, et surtout femme de radio, fondatrice de Radio-France Hérault en 1984.","http://www.midilibre.fr/2014/11/27/madeleine-attal-faite-citoyenne-d-honneur,1088627.php ",
58,Hélène Mandroux,,"diplômée, médecin, femme politique, pionnière, homosexualité",7,1940,,,"Mairie 1 Place Georges Frêche, Montpellier",,,,"Née en 1940 à Montpellier, elle est médecin généraliste et présidente de l’Association française des femmes médecins ; élue au Conseil municipal en 1983, elle est nommée déléguée aux droits des femmes. Elle gravit ensuite les échelons, et obtient le poste convoité de première adjointe en 2001. Georges Frêche la désigne en 2004 pour lui succéder : elle est alors une des rares femmes en France à diriger une ville de plus de cent mille habitants. En 2008, elle obtient un second mandat, cette fois, adoubée par les urnes. Elle s’oppose ensuite, en mars 2010, à Georges Frêche, alors au coeur de la polémique, et accepte de diriger la liste socialiste aux régionales. Une bataille perdue d’avance qu’elle raconte dans son ouvrage intitulé Maire courage. Elle s’engage aussi pleinement en faveur de la cause homosexuelle, ce qui lui vaut d’être la première femme politique à recevoir en 2011 le prix Pierre-Guénin contre l’homophobie. Le 29 mai 2013, elle célèbre à la mairie de Montpellier la première union de deux hommes en France.",https://fr.wikipedia.org/wiki/H%C3%A9l%C3%A8ne_Mandroux ,https://fr.wikipedia.org/wiki/H%C3%A9l%C3%A8ne_Mandroux
